    0.620449667572975159E+03    0.672362386763095898E+01    0.116017043590545654E+00    0.319210350513458252E+04    0.377857241034507751E+01   -0.109001862414687183E+08   -0.800636754913167081E+01    1
    0.693775484561920166E+03    0.679414402425289232E+01    0.157406926155090332E-01    0.302051186561584473E+04    0.370888110995292664E+01   -0.108723218540032282E+08   -0.800670088246508094E+01    1
    0.599024541378021240E+03    0.668121025741100283E+01    0.279264688491821289E+00    0.386827254295349121E+04    0.371003037691116333E+01   -0.103719101757988688E+08   -0.800703421579842356E+01    1
    0.661836190223693848E+03    0.681020774722099365E+01    0.110164582729339600E+00    0.319030165672302246E+04    0.361740025877952576E+01   -0.103596600084257629E+08   -0.800736754913181947E+01    1
    0.769083926081657410E+03    0.680401647925376896E+01   -0.222512483596801758E+00    0.388992941379547119E+04    0.356360125541687012E+01   -0.103450415436796322E+08   -0.800770088246506440E+01    1
    0.652881968021392822E+03    0.671545914828777324E+01    0.488316833972930908E+00    0.316384828090667725E+04    0.381125670671463013E+01   -0.102451848472272754E+08   -0.800803421579830221E+01    1
    0.745705019831657410E+03    0.685732443392276814E+01    0.293968319892883301E-01    0.328416597843170166E+04    0.361759296059608459E+01   -0.101747837779931426E+08   -0.800836754913168924E+01    1
    0.627694115638732910E+03    0.670196299135684992E+01    0.172729671001434326E+00    0.423029208183288574E+04    0.363745900988578796E+01   -0.101511735834758878E+08   -0.800870088246505674E+01    1
    0.774867498278617859E+03    0.678059099376201679E+01   -0.347948551177978516E+00    0.425536048412322998E+04    0.373936873674392700E+01   -0.100556327029666696E+08   -0.800903421579842245E+01    1
    0.540391876101493835E+03    0.660651325762271924E+01    0.889855027198791504E-01    0.371831047534942627E+04    0.376373243331909180E+01   -0.995791022561416402E+07   -0.800936754913180948E+01    1
    0.537920322418212891E+03    0.660542348682880398E+01   -0.376772761344909668E+00    0.350670921802520752E+04    0.357256272435188293E+01   -0.983533934853762388E+07   -0.800970088246509171E+01    1
    0.692749518156051636E+03    0.673256433010101318E+01   -0.435633122920989990E+00    0.412707281112670898E+04    0.363766700029373169E+01   -0.983127544179301523E+07   -0.801003421579831709E+01    1
    0.790584577918052673E+03    0.682984686017036502E+01    0.404560565948486328E-01    0.390865051746368408E+04    0.369734698534011841E+01   -0.979525192065961845E+07   -0.801036754913171656E+01    1
    0.624810177683830261E+03    0.668453766644001046E+01   -0.900159478187561035E-01    0.481618607044219971E+04    0.385739216208457947E+01   -0.978436430324622989E+07   -0.801070088246503076E+01    1
    0.554291346073150635E+03    0.662829705417156223E+01   -0.157897531986236572E+00    0.411264503002166748E+04    0.367592331767082214E+01   -0.975160862686035410E+07   -0.801103421579835029E+01    1
    0.649924033284187317E+03    0.667648485958576199E+01    0.338199377059936523E+00    0.309145581722259521E+04    0.378702637553215027E+01   -0.969683054771219380E+07   -0.801136754913177107E+01    1
    0.743673879504203796E+03    0.678273690044879984E+01   -0.110763788223266602E+00    0.493430185317993164E+04    0.360915213823318481E+01   -0.964303686422657780E+07   -0.801170088246507284E+01    1
    0.710469709038734436E+03    0.688609542250633311E+01   -0.252102315425872803E+00    0.325282299518585205E+04    0.382452109456062317E+01   -0.960390513812404685E+07   -0.801203421579838171E+01    1
    0.725497782826423645E+03    0.676129587411880539E+01    0.338363051414489746E-01    0.466166889667510986E+04    0.354956150054931641E+01   -0.958864187381444499E+07   -0.801236754913166571E+01    1
    0.689367885589599609E+03    0.674283642888069146E+01    0.274479389190673828E-01    0.333875608444213867E+04    0.370209464430809021E+01   -0.957942963915000856E+07   -0.801270088246507584E+01    1
    0.658753908276557922E+03    0.669755529046058662E+01   -0.168370842933654785E+00    0.396668016910552979E+04    0.394081494212150574E+01   -0.955769592297566682E+07   -0.801303421579843800E+01    1
    0.648404347300529480E+03    0.671138351559639013E+01   -0.382635354995727539E+00    0.403231239318847656E+04    0.388270106911659241E+01   -0.954484078327575885E+07   -0.801336754913176108E+01    1
    0.779994170665740967E+03    0.691616869330406203E+01   -0.207064807415008545E+00    0.343126845359802246E+04    0.362492465972900391E+01   -0.951437841387720965E+07   -0.801370088246506107E+01    1
    0.607025672793388367E+03    0.664312331855297167E+01   -0.412740588188171387E+00    0.465695393085479736E+04    0.392183390259742737E+01   -0.946541406632274576E+07   -0.801403421579837172E+01    1
    0.635715529918670654E+03    0.674014624834060694E+01    0.160172462463378906E+00    0.453026199340820312E+04    0.360316121578216553E+01   -0.938461297153442539E+07   -0.801436754913173566E+01    1
    0.668403557538986206E+03    0.690856781721115176E+01   -0.139388322830200195E+00    0.320696878433227539E+04    0.380233594775199890E+01   -0.938021218122366816E+07   -0.801470088246504275E+01    1
    0.654931046962738037E+03    0.666589445233345046E+01   -0.138527274131774902E+00    0.451875984668731689E+04    0.371650946140289307E+01   -0.928485064943170361E+07   -0.801503421579836051E+01    1
    0.787054136395454407E+03    0.688733685612678581E+01   -0.407991349697113037E+00    0.386649596691131592E+04    0.381382876634597778E+01   -0.926512859372669272E+07   -0.801536754913177063E+01    1
    0.711486808061599731E+03    0.682632956683635772E+01   -0.205766141414642334E+00    0.485933244228363037E+04    0.375665625929832458E+01   -0.912508869476828165E+07   -0.801570088246519674E+01    1
    0.672459824681282043E+03    0.664443538546562174E+01   -0.450678765773773193E+00    0.460931050777435303E+04    0.368564000725746155E+01   -0.906093671171944775E+07   -0.801603421579841147E+01    1
    0.722670004963874817E+03    0.685169425725936954E+01   -0.214563727378845215E+00    0.443234372138977051E+04    0.376708945631980896E+01   -0.900981923967126571E+07   -0.801636754913170080E+01    1
    0.801665239334106445E+03    0.693857718169689175E+01   -0.231596171855926514E+00    0.347675633430480957E+04    0.391667735576629639E+01   -0.895995903893621825E+07   -0.801670088246502388E+01    1
    0.687934223413467407E+03    0.675096781909465804E+01   -0.205371975898742676E+00    0.443343091011047363E+04    0.383333545923233032E+01   -0.891087379923368245E+07   -0.801703421579835762E+01    1
    0.548293223977088928E+03    0.665174363791942636E+01   -0.103069603443145752E+00    0.486342465877532959E+04    0.380071660876274109E+01   -0.887898783352344111E+07   -0.801736754913168959E+01    1
